id_user,nama_nasabah,tanggal_lahir,nama_ibu_kandung,segmen_demografi,gaji_bulanan,persona_dasar,is_dynamic,persona_bulan_1,persona_bulan_2,persona_bulan_3
USR-392,"Puti Paris Gunarto, S.H.",1994-02-11,"Ir. Nabila Saputra, S.Gz",First Jobber,5190000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-353,Warji Halimah,1990-11-17,Elvina Mansur,First Jobber,4690000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-342,Halim Mardhiyah,2006-12-04,"Vera Saragih, S.IP",First Jobber,5320000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-278,Yosef Latupono,1990-10-10,Jamil Maryati,First Jobber,5520000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-291,Luis Sihombing,2001-05-14,Jefri Yuniar,First Jobber,5700000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-318,"Dina Maryati, S.Kom",2000-05-27,"Jati Novitasari, S.Sos",First Jobber,5680000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-305,"Karimah Waskita, S.I.Kom",1991-02-14,Kairav Purwanti,First Jobber,5970000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-269,Wani Hutasoit,2003-05-25,Irfan Suartini,First Jobber,5420000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-070,"Hasan Simbolon, S.Sos",2002-11-10,R.M. Dadi Andriani,Mahasiswa,3000000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-456,"Puti Wulan Nasyidah, S.Sos",1994-03-25,Yunita Prabowo,Profesional,19500000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-466,"Yani Jailani, S.IP",1995-12-13,Dina Wibowo,Profesional,19400000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-155,"Lala Yulianti, S.Pt",2005-08-22,"Hj. Zamira Nasyidah, S.Sos",Mahasiswa,2800000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-083,Empluk Sitorus,1996-01-24,R. Cahyo Maryadi,Mahasiswa,1770000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-478,Manah Nasyiah,1999-12-27,Estiawan Hutasoit,Profesional,17050000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-173,"R. Jarwa Hutagalung, S.E.I",2003-11-19,Satya Wastuti,Mahasiswa,2800000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-322,"Fathonah Lestari, S.Psi",1998-12-11,KH. Najam Saefullah,First Jobber,4830000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-091,"Akarsana Hutasoit, S.Farm",1992-10-01,Elvina Hardiansyah,Mahasiswa,2520000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-181,"Baktiadi Lestari, M.Ak",1997-08-27,Ami Uwais,Mahasiswa,3110000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-415,Calista Pratiwi,1993-11-26,R.M. Mahmud Pudjiastuti,Profesional,12440000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-313,Wulan Usamah,1990-10-15,Hani Yolanda,First Jobber,5760000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-279,Putri Lazuardi,1995-01-08,Tiara Hassanah,First Jobber,4630000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-382,"Puti Yuliana Winarsih, S.Gz",2004-01-25,Dina Usamah,First Jobber,5230000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-473,Septi Habibi,2004-06-01,"Sutan Jumari Winarno, S.IP",Profesional,14980000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-363,Ratih Rahimah,2004-03-19,"dr. Gilda Sihombing, S.E.I",First Jobber,5260000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-325,"Edi Kuswandari, S.Kom",1993-12-11,T. Wardi Purwanti,First Jobber,5910000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-432,Estiawan Haryanto,2000-09-13,"Dr. Cengkir Utama, S.Psi",Profesional,16620000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-348,Catur Simbolon,2005-09-09,Calista Zulaika,First Jobber,4820000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-087,Natalia Ardianto,2007-04-12,Umi Wibisono,Mahasiswa,2900000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-076,Puti Mutia Agustina,2006-04-05,R.A. Tina Winarno,Mahasiswa,2960000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-439,Kala Marbun,1999-02-14,Cengkir Sihotang,Profesional,16220000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-016,"Putri Nasyiah, S.T.",2003-10-03,Restu Wacana,Mahasiswa,1810000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-250,Harto Mardhiyah,1997-01-14,Cindy Wahyudin,First Jobber,5330000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-434,drg. Rahmi Wijaya,2000-11-15,Kamila Haryanti,Profesional,15410000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-020,"Najam Latupono, M.Pd",2003-10-29,"Ir. Ganep Kusumo, S.Pd",Mahasiswa,3470000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-323,Dewi Pertiwi,2002-06-27,Lala Situmorang,First Jobber,5740000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-333,Adika Salahudin,2000-07-13,Wisnu Sitorus,First Jobber,5800000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-057,Gaiman Utama,2006-06-28,"Dt. Uda Tamba, S.Kom",Mahasiswa,1780000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-302,Ayu Iswahyudi,2007-04-28,drg. Dimas Pratama,First Jobber,5760000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-230,R.M. Yusuf Halim,1998-06-02,"Tgk. Nasab Hutasoit, M.TI.",First Jobber,4770000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-332,Raihan Widodo,2004-06-28,Waluyo Siregar,First Jobber,5480000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-133,Yono Wulandari,2005-05-10,Ir. Ayu Wulandari,Mahasiswa,2600000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-138,Hafshah Sinaga,1992-05-24,"dr. Saka Mulyani, S.Ked",Mahasiswa,2100000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-424,Drs. Eka Situmorang,2008-04-07,Ciaobella Sihombing,Profesional,19350000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-336,"Edi Nashiruddin, S.Ked",2003-07-27,"T. Kasim Wulandari, S.Kom",First Jobber,5790000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-026,"Puti Vanya Nasyidah, S.E.I",1992-08-14,Pia Marbun,Mahasiswa,3120000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-465,"Puti Zelda Anggraini, S.E.I",1998-11-27,Harjo Irawan,Profesional,19480000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-282,"Ganjaran Haryanto, M.Pd",2000-01-25,Zizi Manullang,First Jobber,5560000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-248,"Puti Intan Hutasoit, S.E.",1995-03-21,R.M. Radika Fujiati,First Jobber,5120000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-238,"Mumpuni Anggraini, M.TI.",1996-10-27,Ira Najmudin,First Jobber,5440000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-118,Teddy Budiman,2000-08-22,Natalia Farida,Mahasiswa,3170000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-043,Soleh Nashiruddin,1991-07-17,Mursita Prakasa,Mahasiswa,2480000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-221,Karta Melani,1993-10-18,"Tgk. Gara Yuliarti, S.E.I",First Jobber,5700000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-177,Marsudi Haryanto,2001-09-29,Tira Sihombing,Mahasiswa,3420000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-321,Puti Salahudin,1994-05-10,Vera Suwarno,First Jobber,4630000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-154,Bahuraksa Halimah,2004-05-17,Jessica Oktaviani,Mahasiswa,2300000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-232,R. Karimah Wahyudin,2006-10-31,Laila Sirait,First Jobber,5460000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-228,Ir. Ophelia Winarno,1998-08-21,KH. Okta Gunarto,First Jobber,5150000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-418,"Candra Anggraini, S.Sos",1991-08-22,Dr. Restu Wacana,Profesional,15340000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-204,Lulut Wahyuni,2005-03-28,Ana Najmudin,First Jobber,4650000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-127,Edward Suryono,2002-12-18,Belinda Pradipta,Mahasiswa,2350000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-330,Irma Yuliarti,1991-05-16,"R. Martana Pertiwi, S.H.",First Jobber,5560000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-032,Salsabila Laksita,1994-03-01,Nyoman Pertiwi,Mahasiswa,1660000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-114,"H. Cengkal Nababan, S.Kom",2003-08-09,Tari Rahmawati,Mahasiswa,2170000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-471,"Bakiadi Prayoga, M.Pd",2001-02-15,"Rachel Suryono, S.Ked",Profesional,8620000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-272,Melinda Gunarto,2003-05-23,Raisa Fujiati,First Jobber,4820000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-141,Wira Suwarno,1998-03-12,"Nova Maheswara, S.Ked",Mahasiswa,2550000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-058,"Drajat Widiastuti, S.IP",1996-09-03,dr. Lukman Mangunsong,Mahasiswa,2280000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-193,Rachel Maulana,1991-06-28,Sarah Usada,Mahasiswa,2900000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-025,Asmianto Permadi,2006-02-10,Bakiadi Laksita,Mahasiswa,3240000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-018,"Puti Eva Utami, S.E.",2004-07-25,Rina Haryanto,Mahasiswa,2420000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-266,Edison Tamba,2005-10-29,Sakti Yolanda,First Jobber,5730000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-067,"Maya Adriansyah, M.TI.",2006-12-20,Ir. Najib Winarsih,Mahasiswa,2620000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-209,Candrakanta Safitri,1991-03-16,Empluk Handayani,First Jobber,5890000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-480,Hj. Vanesa Yulianti,2002-07-26,Galak Fujiati,Profesional,10270000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-095,Perkasa Dabukke,2007-05-27,Salman Damanik,Mahasiswa,2920000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-254,"R. Pia Sudiati, M.TI.",1997-12-04,"T. Dasa Sihombing, S.IP",First Jobber,5540000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-267,Humaira Maheswara,2004-09-11,Lalita Farida,First Jobber,5840000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-024,Nurul Budiyanto,1992-04-27,Yance Samosir,Mahasiswa,3210000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-223,"KH. Marwata Hutagalung, S.E.",2007-06-07,"Jumadi Hariyah, M.Farm",First Jobber,4670000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-262,Garan Palastri,1996-05-26,"Cayadi Hariyah, M.Kom.",First Jobber,5660000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-427,Tantri Hartati,1996-01-18,Aurora Latupono,Profesional,10960000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-006,Bakiman Wibowo,1992-01-18,"dr. Rahmi Saptono, S.Gz",Mahasiswa,2090000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-117,Kadir Siregar,2002-11-11,Makuta Lestari,Mahasiswa,3300000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-046,"Nasrullah Sihotang, S.H.",1995-02-02,Mumpuni Yuliarti,Mahasiswa,1790000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-017,Gawati Mandala,1999-06-25,Perkasa Hardiansyah,Mahasiswa,2250000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-463,"Bakijan Kuswoyo, S.Ked",1994-02-24,Cahyadi Rahayu,Profesional,15520000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-358,Yuni Pradana,1994-10-06,Eva Saefullah,First Jobber,5740000,Tightwad,1,Tightwad,Tightwad,Tightwad
USR-004,"Puji Andriani, S.H.",1998-05-24,Yessi Ardianto,Mahasiswa,2890000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-219,"Puti Hesti Fujiati, M.Farm",1997-07-07,Harto Saragih,First Jobber,5360000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-406,"Putri Prasasta, M.Farm",1999-09-09,"Harjasa Narpati, S.E.I",Profesional,16360000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-061,"R.A. Hasna Manullang, S.IP",1997-03-12,Sidiq Halimah,Mahasiswa,2860000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-111,Halim Prasasta,1995-10-27,dr. Nabila Puspasari,Mahasiswa,3420000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-319,Ellis Haryanti,2006-09-23,Puji Thamrin,First Jobber,5820000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-429,R.M. Kusuma Manullang,1996-04-07,Malika Pradipta,Profesional,8520000,Spendthrift,1,Spendthrift,Spendthrift,Spendthrift
USR-030,Sutan Lanjar Prasetya,1990-06-09,"Siti Halim, S.H.",Mahasiswa,3460000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-438,drg. Lintang Nashiruddin,1999-01-25,H. Vega Yuliarti,Profesional,8630000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-472,"Hj. Ilsa Putra, M.TI.",2001-03-26,Pangeran Wijaya,Profesional,12400000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-027,Paris Sudiati,1997-12-04,Wisnu Namaga,Mahasiswa,2120000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-008,Yance Utami,2001-06-10,"dr. Ratih Nababan, S.Pt",Mahasiswa,3290000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-454,"KH. Bakiman Waskita, M.TI.",2003-10-21,"Kartika Hasanah, M.Kom.",Profesional,9740000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-109,Sutan Bakiadi Permadi,2003-04-09,Puti Permadi,Mahasiswa,2510000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-038,"Cut Cornelia Prakasa, S.E.",1997-08-16,Gabriella Wacana,Mahasiswa,2590000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-158,"Ir. Niyaga Januar, M.M.",1993-04-20,Ana Gunawan,Mahasiswa,2870000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-490,Karimah Winarno,2006-11-15,Wadi Firgantoro,Profesional,8860000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-119,Fitria Habibi,1994-11-08,"Dr. Calista Haryanto, S.Sos",Mahasiswa,2910000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-115,"Dr. Lembah Suryono, S.IP",2005-04-18,Ghaliyati Tarihoran,Mahasiswa,1670000,Spendthrift,0,Spendthrift,Spendthrift,Spendthrift
USR-176,"Hj. Kasiyah Kurniawan, S.H.",1998-10-17,Drs. Jane Suryatmi,Mahasiswa,3080000,Unconflicted,1,Unconflicted,Unconflicted,Unconflicted
USR-374,Tgk. Prayoga Suryono,1997-02-27,Ir. Gatot Samosir,First Jobber,5380000,Tightwad,0,Tightwad,Tightwad,Tightwad
USR-182,Ibun Handayani,2007-06-02,"dr. Cinthia Uwais, M.Pd",Mahasiswa,3280000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
USR-145,Hesti Hasanah,2000-03-25,Fitriani Rahimah,Mahasiswa,2670000,Unconflicted,0,Unconflicted,Unconflicted,Unconflicted
